href,text,poster,full_url
/title/tt0085178/?ref_=tt_sims_tt_i_1,View title page for Ardh Satya,"https://m.media-amazon.com/images/M/MV5BNjE4YjZiZmMtZTE5Zi00YmIzLTkzZWItZjA5ZGMxMDEyOWRlXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_QL75_UY207_CR1,0,140,207_.jpg",https://www.imdb.com/title/tt0085178/?ref_=tt_sims_tt_i_1
/title/tt0071145/?ref_=tt_sims_tt_i_2,View title page for Ankur: The Seedling,"https://m.media-amazon.com/images/M/MV5BYjAwNjg1ZGEtYWRmNC00MDM4LTg4MmQtOTQyMzMzOTg5ODU3XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_QL75_UX140_CR0,3,140,207_.jpg",https://www.imdb.com/title/tt0071145/?ref_=tt_sims_tt_i_2
/title/tt0074858/?ref_=tt_sims_tt_i_3,View title page for Manthan,"https://m.media-amazon.com/images/M/MV5BYjRlZmEyYTMtYjY5My00MmU0LTk1MjQtOGE5N2NmYTQ0Y2JiXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_QL75_UX140_CR0,2,140,207_.jpg",https://www.imdb.com/title/tt0074858/?ref_=tt_sims_tt_i_3
/title/tt0080322/?ref_=tt_sims_tt_i_4,View title page for Aakrosh,"https://m.media-amazon.com/images/M/MV5BNGFlN2I1MWYtMjI1Mi00YTI5LTkwNWMtODg3NGQzZWU3NDhlXkEyXkFqcGdeQXVyNjE1OTQ0NjA@._V1_QL75_UY207_CR4,0,140,207_.jpg",https://www.imdb.com/title/tt0080322/?ref_=tt_sims_tt_i_4
/title/tt0073458/?ref_=tt_sims_tt_i_5,View title page for Nishant,"https://m.media-amazon.com/images/M/MV5BMGI3NzBmZjEtOWRhOS00OTM3LTgyNjMtOTM4YjIxMmQ5YWQxXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_QL75_UX140_CR0,2,140,207_.jpg",https://www.imdb.com/title/tt0073458/?ref_=tt_sims_tt_i_5
/title/tt0079938/?ref_=tt_sims_tt_i_6,View title page for The Touch,"https://m.media-amazon.com/images/M/MV5BZWFhMDI0YjQtOWE3MC00MzEyLWJjNmUtM2M0NTJhYTUwZTk1XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_QL75_UY207_CR16,0,140,207_.jpg",https://www.imdb.com/title/tt0079938/?ref_=tt_sims_tt_i_6
/title/tt0083578/?ref_=tt_sims_tt_i_7,View title page for Arth,"https://m.media-amazon.com/images/M/MV5BMzAwYjA3MzAtZTI5Mi00YzExLTkwM2ItODAyMjg1ZGY0ZjYxXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_QL75_UY207_CR1,0,140,207_.jpg",https://www.imdb.com/title/tt0083578/?ref_=tt_sims_tt_i_7
/title/tt0089599/?ref_=tt_sims_tt_i_8,View title page for Mirch Masala,"https://m.media-amazon.com/images/M/MV5BMTU3MTUyMjI4OF5BMl5BanBnXkFtZTgwNDgxNzE4MDE@._V1_QL75_UY207_CR2,0,140,207_.jpg",https://www.imdb.com/title/tt0089599/?ref_=tt_sims_tt_i_8
/title/tt0075747/?ref_=tt_sims_tt_i_9,View title page for Bhumika,"https://m.media-amazon.com/images/M/MV5BYWFjOWMxY2ItZmUyNy00YzUxLWJmM2QtYTY1YTA4NjFmMDVlXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_QL75_UY207_CR16,0,140,207_.jpg",https://www.imdb.com/title/tt0075747/?ref_=tt_sims_tt_i_9
/title/tt0091256/?ref_=tt_sims_tt_i_10,View title page for Permission,"https://m.media-amazon.com/images/M/MV5BZjM4NDQxOTEtYzljMy00OWY1LTgyMzctZjZjMGE4Yzc1MzljXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_QL75_UY207_CR8,0,140,207_.jpg",https://www.imdb.com/title/tt0091256/?ref_=tt_sims_tt_i_10
/title/tt0157571/?ref_=tt_sims_tt_i_11,View title page for Ek Ruka Hua Faisla,"https://m.media-amazon.com/images/M/MV5BMzc5NTdmMTMtNmQxYS00N2MxLWIwZGItNTdkMmIyNmQ1N2E4XkEyXkFqcGdeQXVyMzUxOTA4Nzk@._V1_QL75_UY207_CR4,0,140,207_.jpg",https://www.imdb.com/title/tt0157571/?ref_=tt_sims_tt_i_11
/title/tt0072777/?ref_=tt_sims_tt_i_12,View title page for Chhoti Si Baat,"https://m.media-amazon.com/images/M/MV5BNTAxMmUwYzktMTY0NS00ZDcwLWEwMjEtNDRkMGRlMzRhYjVmXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_QL75_UY207_CR7,0,140,207_.jpg",https://www.imdb.com/title/tt0072777/?ref_=tt_sims_tt_i_12
